"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude"
"1976","Crescent City","Feb",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","Mar",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","Apr",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","May",32,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","June",4682,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","July",13016,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","Aug",8248,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","Sept",2768,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","Oct",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","Nov",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1976","Crescent City","Season",28746,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Feb",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Mar",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Apr",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","May",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","June",2003,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","July",11446,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Aug",8284,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Sept",1063,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Oct",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Nov",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1977","Crescent City","Season",22796,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Feb",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Mar",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Apr",3,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","May",50,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","June",6169,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","July",8335,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Aug",2711,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Sept",130,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Oct",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Nov",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1978","Crescent City","Season",17398,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","Feb",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","Mar",NA,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","Apr",0,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","May",125,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","June",2077,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","July",6059,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","Aug",2826,"CA","","recreational","effort","anger trips",41.7558,-124.2026
"1979","Crescent City","Sept",648,"CA","","recreational","effort","anger trips",41.7558,-124.2026
