"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"1976","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","May",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","June",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","July",1154,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Aug",1573,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Sept",264,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Season",2991,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","May",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","June",307,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","July",4966,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Aug",2127,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Sept",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Season",7400,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","May",7,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","June",417,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","July",701,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Aug",861,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Sept",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Season",1986,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
