"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"1976","Crescent City","Apr",55,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","May",4129,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","June",9894,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","July",2977,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Aug",3382,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Sept",534,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1976","Crescent City","Season",20971,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Apr",556,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","May",12608,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","June",5836,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","July",8950,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Aug",7098,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Sept",1237,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1977","Crescent City","Season",36285,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Apr",1053,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","May",25472,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","June",28342,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","July",2438,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Aug",1649,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Sept",682,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1978","Crescent City","Season",59636,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","Apr",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","May",11464,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","June",11043,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","July",32189,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","Aug",15321,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","Sept",1766,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1979","Crescent City","Season",71783,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","May",16919,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","July",4849,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","Aug",5277,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","Sept",5577,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1980","Crescent City","Season",32622,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","May",27868,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","June",2676,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","July",6623,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Aug",31230,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Sept",13424,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Season",81821,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","May",9725,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","June",8084,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","July",18780,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Aug",33044,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Sept",3684,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Season",73317,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","May",2619,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","June",15909,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","July",4094,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Aug",2064,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Season",24686,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","May",2872,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","June",768,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","July",5869,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Aug",4860,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Season",14369,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","May",208,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","June",4597.97402322978,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","July",2823.26792699811,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Aug",5583.75528501527,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Sept",763,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Season",13975.9972352432,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","May",781,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","June",29165.1240757154,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","July",3211,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Sept",377.633278598796,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Season",33534.7573543142,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","May",727,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","June",13770.3148924445,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Sept",1121.52577558713,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Season",15618.8406680317,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","May",392,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","June",4446.57180259196,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Aug",631.068163063212,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Sept",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Season",5469.63996565517,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Aug",1386,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Sept",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Season",1386,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
