"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude"
"1976","Crescent City","Apr",6.81818181818182,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1976","Crescent City","May",8.44223782998305,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1976","Crescent City","June",8.73832625833839,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1976","Crescent City","July",8.06382264024185,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1976","Crescent City","Aug",9.27261975162626,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1976","Crescent City","Sept",7.47003745318352,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1976","Crescent City","Oct",NA,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1976","Crescent City","Season",8.63311239330504,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","Apr",10.3794964028777,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","May",8.69939720812183,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","June",9.72069910897875,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","July",9.65731843575419,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","Aug",10.7197802197802,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","Sept",8.65076798706548,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","Oct",NA,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1977","Crescent City","Season",9.51925037894447,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","Apr",8.61918328584995,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","May",8.29412688442211,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","June",8.4812292710465,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","July",8.94708777686628,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","Aug",9.17161916312917,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","Sept",7.88123167155425,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","Oct",NA,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1978","Crescent City","Season",8.4350224696492,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","Apr",NA,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","May",8.13319958129798,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","June",8.27773250022639,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","July",9.06144956351549,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","Aug",9.44892631029306,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","Sept",9.08380520951302,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","Oct",NA,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1979","Crescent City","Season",8.87588983464051,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1980","Crescent City","Apr",NA,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1980","Crescent City","May",8.910928541876,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1980","Crescent City","June",NA,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1980","Crescent City","July",9.20499071973603,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1980","Crescent City","Aug",10.1481902596172,"CA","","commercial","weights","pounds",41.7558,-124.2026
"1980","Crescent City","Sept",9.07620584543661,"CA","","commercial","weights","pounds",41.7558,-124.2026
