"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude","center_latitude","center_longitude"
"1978","Crescent City","Apr",111,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1978","Crescent City","May",1799,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1978","Crescent City","June",5895,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1978","Crescent City","July",3074,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1978","Crescent City","Aug",1452,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1978","Crescent City","Sept",336,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1978","Crescent City","Oct",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1978","Crescent City","Season",12667,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","Apr",0,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","May",2216,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","June",2626,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","July",13870,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","Aug",11565,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","Sept",386,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","Oct",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1979","Crescent City","Season",30663,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","Apr",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","May",2114,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","June",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","July",1911,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","Aug",2059,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","Sept",1545,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","Oct",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1980","Crescent City","Season",7629,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","Apr",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","May",3019,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","June",755,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","July",2270,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","Aug",3397,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","Sept",1472,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","Oct",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1981","Crescent City","Season",10913,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","Apr",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","May",1379,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","June",916,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","July",3452,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","Aug",4834,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","Sept",1118,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","Oct",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1982","Crescent City","Season",11699,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1983","Crescent City","Apr",NA,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1983","Crescent City","May",488,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1983","Crescent City","June",2105,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
"1983","Crescent City","July",1302,"CA","","commercial","effort","days fished",41.7558,-124.2026,41.75017,-124.2135
