"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude"
"1976","Astoria","Mar",NA,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","Apr",0,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","May",785,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","June",9916,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","July",22017,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","Aug",44997,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","Sept",22282,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","Oct",528,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","Nov",22,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1976","Astoria","Season",100547,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","Mar",NA,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","Apr",0,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","May",702,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","June",7064,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","July",18484,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","Aug",21570,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","Sept",2493,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","Oct",203,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","Nov",NA,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1977","Astoria","Season",50516,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1978","Astoria","Mar",NA,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1978","Astoria","Apr",0,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1978","Astoria","May",867,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1978","Astoria","June",13099,"OR","","recreational","effort","anger trips",46.1879,-123.8313
"1978","Astoria","July",18162,"OR","","recreational","effort","anger trips",46.1879,-123.8313
