"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude","center_latitude","center_longitude"
"1976","Astoria","Mar",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","Apr",0,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","May",368,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","June",7938,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","July",11447,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","Aug",19120,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","Sept",5666,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","Oct",35,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","Nov",4,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1976","Astoria","Season",44578,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","Mar",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","Apr",0,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","May",372,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","June",3733,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","July",4124,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","Aug",10996,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","Sept",740,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","Oct",184,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","Nov",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1977","Astoria","Season",20149,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","Mar",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","Apr",0,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","May",209,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","June",1635,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","July",1334,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","Aug",4153,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","Sept",524,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","Oct",35,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","Nov",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1978","Astoria","Season",7890,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","Mar",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","Apr",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","May",619,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","June",1593,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","July",2084,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","Aug",3127,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","Sept",119,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","Oct",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","Nov",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1979","Astoria","Season",7542,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","Mar",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","Apr",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","May",98,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","June",1153,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","July",1374,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","Aug",2479,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","Sept",399,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","Oct",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","Nov",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1980","Astoria","Season",5503,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","Mar",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","Apr",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","May",29,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","June",390,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","July",3161,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","Aug",6706,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","Sept",1230,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","Oct",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","Nov",NA,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
"1981","Astoria","Season",11516,"OR","","recreational","catch","numbers",46.1879,-123.8313,46.13027,-123.9552
