"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude"
"1952","Astoria","Mar",7233,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","Apr",19870,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","May",13269,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","June",11397,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","July",6382,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","Aug",7438,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","Sept",2431,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","Oct",4945,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1952","Astoria","Season",72965,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Mar",2329,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Apr",22415,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","May",4375,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","June",4646,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","July",4430,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Aug",3147,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Sept",829,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Oct",241,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1953","Astoria","Season",42412,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Mar",11336,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Apr",13409,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","May",6958,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","June",1240,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","July",1736,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Aug",6538,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Sept",3340,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Oct",628,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1954","Astoria","Season",45185,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Mar",3817,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Apr",14547,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","May",6848,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","June",3921,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","July",4444,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Aug",8561,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Sept",2736,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Oct",229,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1955","Astoria","Season",45103,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Apr",23162,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","May",487,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","June",997,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","July",5089,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Aug",6988,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Sept",1220,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Oct",231,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1956","Astoria","Season",38174,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Apr",4196,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","May",2392,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","June",842,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","July",5171,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Aug",2947,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Sept",1256,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Oct",11,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1957","Astoria","Season",16815,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Apr",928,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","May",404,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","June",1441,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","July",2140,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Aug",2691,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Sept",276,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Oct",81,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1958","Astoria","Season",7961,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Apr",2196,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","May",414,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","June",1094,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","July",1222,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Aug",2827,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Sept",259,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Oct",159,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1959","Astoria","Season",8171,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Apr",1748,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","May",182,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","June",1420,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","July",2748,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Aug",1686,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Sept",657,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Oct",113,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1960","Astoria","Season",8554,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Apr",600,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","May",310,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","June",2205,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","July",1711,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Aug",3008,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Sept",1535,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Oct",117,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1961","Astoria","Season",9486,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Apr",102,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","May",728,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","June",2909,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","July",1422,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Aug",1088,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Sept",230,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Oct",55,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1962","Astoria","Season",6534,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Apr",2779,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","May",4886,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","June",4930,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","July",1033,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Aug",1518,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Sept",494,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Oct",106,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1963","Astoria","Season",15746,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Apr",1035,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","May",6133,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","June",1371,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","July",1475,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Aug",526,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Sept",962,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Oct",47,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1964","Astoria","Season",11549,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Apr",10,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","May",960,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","June",681,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","July",575,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Aug",1233,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Sept",769,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Oct",631,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1965","Astoria","Season",4859,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Apr",561,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","May",7047,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","June",6687,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","July",1351,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Aug",821,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Sept",1471,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Oct",266,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1966","Astoria","Season",18204,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Apr",2149,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","May",3541,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","June",4943,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","July",1479,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Aug",6185,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Sept",1465,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Oct",27,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1967","Astoria","Season",19789,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Apr",4238,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","May",12062,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","June",3448,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","July",1477,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Aug",923,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Sept",351,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Oct",8,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1968","Astoria","Season",22507,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Apr",115,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","May",925,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","June",5383,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","July",1834,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Aug",1505,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Sept",865,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Oct",6,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1969","Astoria","Season",10633,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Apr",1301,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","May",11658,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","June",7425,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","July",1687,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Aug",1481,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Sept",436,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Oct",22,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1970","Astoria","Season",24010,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Apr",1323,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","May",7820,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","June",4857,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","July",773,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Aug",1029,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Sept",219,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Oct",39,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Nov",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Dec",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1971","Astoria","Season",16060,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1972","Astoria","Mar",NA,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1972","Astoria","Apr",15,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1972","Astoria","May",3309,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1972","Astoria","June",3818,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1972","Astoria","July",819,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1972","Astoria","Aug",525,"OR","","commercial","catch","numbers",46.1879,-123.8313
"1972","Astoria","Sept",335,"OR","","commercial","catch","numbers",46.1879,-123.8313
