"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude","center_latitude","center_longitude"
"1971","Astoria","Mar",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","Apr",14,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","May",184,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","June",539,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","July",597,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","Aug",710,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","Sept",499,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","Oct",85,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","Nov",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","Dec",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1971","Astoria","Season",2628,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Mar",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Apr",3,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","May",145,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","June",329,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","July",486,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Aug",587,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Sept",394,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Oct",11,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Nov",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Dec",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1972","Astoria","Season",1955,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Mar",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Apr",49,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","May",143,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","June",347,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","July",409,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Aug",336,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Sept",134,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Oct",52,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Nov",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Dec",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1973","Astoria","Season",1470,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Mar",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Apr",36,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","May",257,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","June",164,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","July",456,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Aug",426,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Sept",226,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Oct",18,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Nov",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Dec",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1974","Astoria","Season",1583,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","Mar",NA,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","Apr",14,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","May",204,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","June",379,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","July",567,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","Aug",333,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","Sept",257,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
"1975","Astoria","Oct",20,"OR","","commercial","effort","days fished",46.1879,-123.8313,46.13027,-123.9552
