"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude","center_latitude","center_longitude"
"1976","Neah Bay","Apr",1025,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","May",1492,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","June",3115,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","July",12609,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Aug",17709,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Sept",8172,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Oct",160,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Season",44282,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Apr",315,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","May",812,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","June",5140,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","July",12983,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Aug",25531,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Sept",10922,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Oct",535,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Season",56238,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Apr",295,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","May",1926,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","June",4970,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","July",17196,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Aug",20654,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Sept",12209,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Oct",1838,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Season",59088,"WA","","recreational","effort","angler trips",48.3681,-124.625,48.37427,-124.6285
