"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"1976","Neah Bay","Apr",NA,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","May",1545,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","June",1630,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","July",4877,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","Aug",1872,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","Sept",1378,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","Oct",18,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","Season",11320,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Apr",186,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","May",359,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","June",1310,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","July",1662,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Aug",2971,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Sept",764,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Oct",25,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Season",7277,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Apr",264,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","May",455,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","June",2248,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","July",2640,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Aug",1002,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Sept",324,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Oct",246,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Season",7179,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Apr",504,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","May",155,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","June",424,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","July",1173,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Aug",801,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Sept",1,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Oct",NA,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Season",3058,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Apr",NA,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","May",155,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","June",372,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","July",1836,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Aug",473,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Sept",NA,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Oct",NA,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Season",2836,"WA","","recreational","catch","Chinook","numbers",48.3681,-124.625
