"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"1976","Neah Bay","May",2090,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","June",8120,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","July",22032,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","Aug",15232,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","Sept",3972,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1976","Neah Bay","Season",51446,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","May",4082,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","June",4269,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","July",13463,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Aug",12474,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Sept",4658,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1977","Neah Bay","Season",38946,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","May",2932,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","June",4618,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","July",13418,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Aug",7352,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Sept",1945,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1978","Neah Bay","Season",30265,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","May",13807,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","June",71,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","July",7473,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Aug",5353,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Sept",59,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1979","Neah Bay","Season",26763,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","May",10995,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","June",1947,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","July",5813,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Aug",3497,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1980","Neah Bay","Season",22252,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1981","Neah Bay","May",7183,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1981","Neah Bay","June",976,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1981","Neah Bay","July",6092,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1981","Neah Bay","Aug",3018,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1981","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1981","Neah Bay","Season",17269,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1982","Neah Bay","May",2767,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1982","Neah Bay","June",527,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1982","Neah Bay","July",13215,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1982","Neah Bay","Aug",293,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1982","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1982","Neah Bay","Season",16802,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1983","Neah Bay","May",3778,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1983","Neah Bay","June",94,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1983","Neah Bay","July",5620,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1983","Neah Bay","Aug",63,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1983","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1983","Neah Bay","Season",9555,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1984","Neah Bay","May",1093,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1984","Neah Bay","June",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1984","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1984","Neah Bay","Aug",1236,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1984","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1984","Neah Bay","Season",2329,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1985","Neah Bay","May",1645,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1985","Neah Bay","June",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1985","Neah Bay","July",229,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1985","Neah Bay","Aug",2511,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1985","Neah Bay","Sept",31,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1985","Neah Bay","Season",4416,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1986","Neah Bay","May",3459,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1986","Neah Bay","June",50,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1986","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1986","Neah Bay","Aug",1147,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1986","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1986","Neah Bay","Season",4656,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1987","Neah Bay","May",4747,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1987","Neah Bay","June",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1987","Neah Bay","July",91,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1987","Neah Bay","Aug",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1987","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1987","Neah Bay","Season",4838,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1988","Neah Bay","May",10040,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1988","Neah Bay","June",11602,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1988","Neah Bay","July",57,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1988","Neah Bay","Aug",242,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1988","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1988","Neah Bay","Season",21941,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1989","Neah Bay","May",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1989","Neah Bay","June",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1989","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1989","Neah Bay","Aug",282,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1989","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1989","Neah Bay","Season",282,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1990","Neah Bay","May",14381,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1990","Neah Bay","June",888,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1990","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1990","Neah Bay","Aug",1017,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1990","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1990","Neah Bay","Season",16286,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","May",8814,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","June",5479,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","Aug",579,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","Sept",366,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","Season",15238,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","May",9073,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","June",6191,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","July",979,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","Aug",833,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
