"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude","center_latitude","center_longitude"
"1976","Neah Bay","May",144,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","June",680,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","July",2876,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Aug",3760,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Sept",2173,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Season",9633,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","May",406,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","June",540,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","July",3550,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Aug",4786,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Sept",2461,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Season",11743,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","May",353,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","June",558,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","July",3247,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Aug",3645,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Sept",2241,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Season",10044,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","May",1155,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","June",54,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","July",3708,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Aug",6117,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Sept",59,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Season",11093,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1980","Neah Bay","May",1224,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1980","Neah Bay","June",176,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1980","Neah Bay","July",1939,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
