"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude","center_latitude","center_longitude"
"1976","Neah Bay","Jan-Apr",0,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","May",3,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","June",112,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","July",274,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Aug",136,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Sept",44,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Oct",6,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Nov-Dec",11,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","May-Sept",569,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1976","Neah Bay","Year",586,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Jan-Apr",9,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","May",47,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","June",58,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","July",52,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Aug",95,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Sept",27,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Oct",0,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Nov-Dec",0,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","May-Sept",279,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1977","Neah Bay","Year",288,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Jan-Apr",1,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","May",3,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","June",55,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","July",45,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Aug",13,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Sept",9,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Oct",0,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Nov-Dec",0,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","May-Sept",125,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1978","Neah Bay","Year",126,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Jan-Apr",2,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","May",13,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","June",19,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","July",41,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Aug",63,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Sept",7,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Oct",2,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
"1979","Neah Bay","Nov-Dec",0,"WA","Indian","commercial","effort","deliveries",48.3681,-124.625,48.37427,-124.6285
