port,latitude,longitude,center_latitude,center_longitude
Crescent City,41.7558,-124.2026,41.75017,-124.2135
Eureka,40.8021,-124.1637,40.8087,-124.1575
Fort Bragg,39.4457,-123.8053,39.44246,-123.8175
San Francisco,37.7749,-122.4194,37.77708,-122.3897
Monterey,36.6002,-121.8947,36.60423,-121.8853
Astoria,46.1879,-123.8313,46.13027,-123.9552
Tillamook,45.4562,-123.844,45.439,-123.9559
Newport,44.6368,-124.0535,44.63999,-124.0692
Coos Bay,43.3665,-124.2179,43.39764,-124.3097
South of Cape Falcon,45.7676,-123.9824,45.77505,-123.9778
Neah Bay,48.3681,-124.625,48.37427,-124.6285
La Push,47.9081,-124.6352,47.90009,-124.6358
Westport,46.8901,-124.1041,46.90421,-124.1
Ilwaco,46.309,-124.0432,46.30767,-124.0723
Area 4B,48.3681,-124.625,48.37427,-124.6285
